window,modello,trimestre,mia_as_of,mia_sett,fed_as_of,fed_sett,rilascio_pil,scarto_gg,stessa_data
completo,lbvar,2016Q4,2017-01-27,17,2017-01-27,17,2017-01-28,0,True
completo,lbvar,2017Q1,2017-04-21,16,2017-04-21,16,2017-04-28,0,True
completo,lbvar,2017Q2,2017-07-21,16,2017-07-21,16,2017-07-28,0,True
completo,lbvar,2017Q3,2017-10-27,17,2017-10-27,17,2017-10-28,0,True
completo,lbvar,2017Q4,2018-01-26,17,2018-01-26,17,2018-01-28,0,True
completo,lbvar,2018Q1,2018-04-27,17,2018-04-27,17,2018-04-28,0,True
completo,lbvar,2018Q2,2018-07-27,17,2018-07-27,17,2018-07-28,0,True
completo,lbvar,2018Q3,2018-10-26,17,2018-10-26,17,2018-10-28,0,True
completo,lbvar,2018Q4,2019-01-25,17,2019-01-25,17,2019-01-28,0,True
completo,lbvar,2019Q1,2019-04-26,17,2019-04-26,17,2019-04-28,0,True
completo,lbvar,2019Q2,2019-07-26,17,2019-07-26,17,2019-07-28,0,True
completo,lbvar,2019Q3,2019-10-25,17,2019-10-25,17,2019-10-28,0,True
completo,lbvar,2019Q4,2020-01-24,17,2020-01-24,17,2020-01-28,0,True
completo,lbvar,2020Q1,2020-04-24,17,2020-04-24,17,2020-04-28,0,True
completo,lbvar,2020Q2,2020-07-24,17,2020-07-24,17,2020-07-28,0,True
completo,lbvar,2020Q3,2020-10-23,17,2020-10-23,17,2020-10-28,0,True
completo,lbvar,2020Q4,2021-01-22,17,2021-01-22,17,2021-01-28,0,True
completo,lbvar,2021Q1,2021-04-23,17,2021-04-23,17,2021-04-28,0,True
completo,lbvar,2021Q2,2021-07-23,17,2021-07-23,17,2021-07-28,0,True
completo,lbvar,2023Q1,2023-04-21,16,2023-04-21,16,2023-04-28,0,True
completo,lbvar,2023Q2,2023-07-21,16,2023-07-21,16,2023-07-28,0,True
completo,lbvar,2023Q3,2023-10-27,17,2023-10-27,17,2023-10-28,0,True
completo,lbvar,2023Q4,2024-01-26,17,2024-01-26,17,2024-01-28,0,True
completo,lbvar,2024Q1,2024-04-26,17,2024-04-26,17,2024-04-28,0,True
completo,lbvar,2024Q2,2024-07-26,17,2024-07-26,17,2024-07-28,0,True
completo,lbvar,2024Q3,2024-10-25,17,2024-10-25,17,2024-10-28,0,True
completo,lbvar,2024Q4,2025-01-24,17,2025-01-24,17,2025-01-28,0,True
completo,lbvar,2025Q1,2025-04-25,17,2025-04-25,17,2025-04-28,0,True
completo,lbvar,2025Q2,2025-07-25,17,2025-07-25,17,2025-07-28,0,True
completo,lbvar,2025Q3,2025-10-24,17,2025-10-24,17,2025-10-28,0,True
2007-2019,tutti,2006Q4,2007-01-26,17,2007-01-26,17,2007-01-28,0,True
2007-2019,tutti,2007Q1,2007-04-27,17,2007-04-27,17,2007-04-28,0,True
2007-2019,tutti,2007Q2,2007-07-27,17,2007-07-27,17,2007-07-28,0,True
2007-2019,tutti,2007Q3,2007-10-26,17,2007-10-26,17,2007-10-28,0,True
2007-2019,tutti,2007Q4,2008-01-25,17,2008-01-25,17,2008-01-28,0,True
2007-2019,tutti,2008Q1,2008-04-25,17,2008-04-25,17,2008-04-28,0,True
2007-2019,tutti,2008Q2,2008-07-25,17,2008-07-25,17,2008-07-28,0,True
2007-2019,tutti,2008Q3,2008-10-24,17,2008-10-24,17,2008-10-28,0,True
2007-2019,tutti,2008Q4,2009-01-23,17,2009-01-23,17,2009-01-28,0,True
2007-2019,tutti,2009Q1,2009-04-24,17,2009-04-24,17,2009-04-28,0,True
2007-2019,tutti,2009Q2,2009-07-24,17,2009-07-24,17,2009-07-28,0,True
2007-2019,tutti,2009Q3,2009-10-23,17,2009-10-23,17,2009-10-28,0,True
2007-2019,tutti,2009Q4,2010-01-22,17,2010-01-22,17,2010-01-28,0,True
2007-2019,tutti,2010Q1,2010-04-23,17,2010-04-23,17,2010-04-28,0,True
2007-2019,tutti,2010Q2,2010-07-23,17,2010-07-23,17,2010-07-28,0,True
2007-2019,tutti,2010Q3,2010-10-22,17,2010-10-22,17,2010-10-28,0,True
2007-2019,tutti,2010Q4,2011-01-21,17,2011-01-21,17,2011-01-28,0,True
2007-2019,tutti,2011Q1,2011-04-22,16,2011-04-22,16,2011-04-28,0,True
2007-2019,tutti,2011Q2,2011-07-22,17,2011-07-22,17,2011-07-28,0,True
2007-2019,tutti,2011Q3,2011-10-21,17,2011-10-21,17,2011-10-28,0,True
2007-2019,tutti,2011Q4,2012-01-27,17,2012-01-27,17,2012-01-28,0,True
2007-2019,tutti,2012Q1,2012-04-27,17,2012-04-27,17,2012-04-28,0,True
2007-2019,tutti,2012Q2,2012-07-27,17,2012-07-27,17,2012-07-28,0,True
2007-2019,tutti,2012Q3,2012-10-26,17,2012-10-26,17,2012-10-28,0,True
2007-2019,tutti,2012Q4,2013-01-25,17,2013-01-25,17,2013-01-28,0,True
2007-2019,tutti,2013Q1,2013-04-26,17,2013-04-26,17,2013-04-28,0,True
2007-2019,tutti,2013Q2,2013-07-26,17,2013-07-26,17,2013-07-28,0,True
2007-2019,tutti,2013Q3,2013-10-25,17,2013-10-25,17,2013-10-28,0,True
2007-2019,tutti,2013Q4,2014-01-24,17,2014-01-24,17,2014-01-28,0,True
2007-2019,tutti,2014Q1,2014-04-25,17,2014-04-25,17,2014-04-28,0,True
2007-2019,tutti,2014Q2,2014-07-25,17,2014-07-25,17,2014-07-28,0,True
2007-2019,tutti,2014Q3,2014-10-24,17,2014-10-24,17,2014-10-28,0,True
2007-2019,tutti,2014Q4,2015-01-23,17,2015-01-23,17,2015-01-28,0,True
2007-2019,tutti,2015Q1,2015-04-24,17,2015-04-24,17,2015-04-28,0,True
2007-2019,tutti,2015Q2,2015-07-24,17,2015-07-24,17,2015-07-28,0,True
2007-2019,tutti,2015Q3,2015-10-23,17,2015-10-23,17,2015-10-28,0,True
2007-2019,tutti,2015Q4,2016-01-22,17,2016-01-22,17,2016-01-28,0,True
2007-2019,tutti,2016Q1,2016-04-22,17,2016-04-22,17,2016-04-28,0,True
2007-2019,tutti,2016Q2,2016-07-22,17,2016-07-22,17,2016-07-28,0,True
2007-2019,tutti,2016Q3,2016-10-21,17,2016-10-21,17,2016-10-28,0,True
2007-2019,tutti,2016Q4,2017-01-27,17,2017-01-27,17,2017-01-28,0,True
2007-2019,tutti,2017Q1,2017-04-21,16,2017-04-21,16,2017-04-28,0,True
2007-2019,tutti,2017Q2,2017-07-21,16,2017-07-21,16,2017-07-28,0,True
2007-2019,tutti,2017Q3,2017-10-27,17,2017-10-27,17,2017-10-28,0,True
2007-2019,tutti,2017Q4,2018-01-26,17,2018-01-26,17,2018-01-28,0,True
2007-2019,tutti,2018Q1,2018-04-27,17,2018-04-27,17,2018-04-28,0,True
2007-2019,tutti,2018Q2,2018-07-27,17,2018-07-27,17,2018-07-28,0,True
2007-2019,tutti,2018Q3,2018-10-26,17,2018-10-26,17,2018-10-28,0,True
2007-2019,tutti,2018Q4,2019-01-25,17,2019-01-25,17,2019-01-28,0,True
2007-2019,tutti,2019Q1,2019-04-26,17,2019-04-26,17,2019-04-28,0,True
2007-2019,tutti,2019Q2,2019-07-26,17,2019-07-26,17,2019-07-28,0,True
2007-2019,tutti,2019Q3,2019-10-25,17,2019-10-25,17,2019-10-28,0,True
2007-2021,tutti,2006Q4,2007-01-26,17,2007-01-26,17,2007-01-28,0,True
2007-2021,tutti,2007Q1,2007-04-27,17,2007-04-27,17,2007-04-28,0,True
2007-2021,tutti,2007Q2,2007-07-27,17,2007-07-27,17,2007-07-28,0,True
2007-2021,tutti,2007Q3,2007-10-26,17,2007-10-26,17,2007-10-28,0,True
2007-2021,tutti,2007Q4,2008-01-25,17,2008-01-25,17,2008-01-28,0,True
2007-2021,tutti,2008Q1,2008-04-25,17,2008-04-25,17,2008-04-28,0,True
2007-2021,tutti,2008Q2,2008-07-25,17,2008-07-25,17,2008-07-28,0,True
2007-2021,tutti,2008Q3,2008-10-24,17,2008-10-24,17,2008-10-28,0,True
2007-2021,tutti,2008Q4,2009-01-23,17,2009-01-23,17,2009-01-28,0,True
2007-2021,tutti,2009Q1,2009-04-24,17,2009-04-24,17,2009-04-28,0,True
2007-2021,tutti,2009Q2,2009-07-24,17,2009-07-24,17,2009-07-28,0,True
2007-2021,tutti,2009Q3,2009-10-23,17,2009-10-23,17,2009-10-28,0,True
2007-2021,tutti,2009Q4,2010-01-22,17,2010-01-22,17,2010-01-28,0,True
2007-2021,tutti,2010Q1,2010-04-23,17,2010-04-23,17,2010-04-28,0,True
2007-2021,tutti,2010Q2,2010-07-23,17,2010-07-23,17,2010-07-28,0,True
2007-2021,tutti,2010Q3,2010-10-22,17,2010-10-22,17,2010-10-28,0,True
2007-2021,tutti,2010Q4,2011-01-21,17,2011-01-21,17,2011-01-28,0,True
2007-2021,tutti,2011Q1,2011-04-22,16,2011-04-22,16,2011-04-28,0,True
2007-2021,tutti,2011Q2,2011-07-22,17,2011-07-22,17,2011-07-28,0,True
2007-2021,tutti,2011Q3,2011-10-21,17,2011-10-21,17,2011-10-28,0,True
2007-2021,tutti,2011Q4,2012-01-27,17,2012-01-27,17,2012-01-28,0,True
2007-2021,tutti,2012Q1,2012-04-27,17,2012-04-27,17,2012-04-28,0,True
2007-2021,tutti,2012Q2,2012-07-27,17,2012-07-27,17,2012-07-28,0,True
2007-2021,tutti,2012Q3,2012-10-26,17,2012-10-26,17,2012-10-28,0,True
2007-2021,tutti,2012Q4,2013-01-25,17,2013-01-25,17,2013-01-28,0,True
2007-2021,tutti,2013Q1,2013-04-26,17,2013-04-26,17,2013-04-28,0,True
2007-2021,tutti,2013Q2,2013-07-26,17,2013-07-26,17,2013-07-28,0,True
2007-2021,tutti,2013Q3,2013-10-25,17,2013-10-25,17,2013-10-28,0,True
2007-2021,tutti,2013Q4,2014-01-24,17,2014-01-24,17,2014-01-28,0,True
2007-2021,tutti,2014Q1,2014-04-25,17,2014-04-25,17,2014-04-28,0,True
2007-2021,tutti,2014Q2,2014-07-25,17,2014-07-25,17,2014-07-28,0,True
2007-2021,tutti,2014Q3,2014-10-24,17,2014-10-24,17,2014-10-28,0,True
2007-2021,tutti,2014Q4,2015-01-23,17,2015-01-23,17,2015-01-28,0,True
2007-2021,tutti,2015Q1,2015-04-24,17,2015-04-24,17,2015-04-28,0,True
2007-2021,tutti,2015Q2,2015-07-24,17,2015-07-24,17,2015-07-28,0,True
2007-2021,tutti,2015Q3,2015-10-23,17,2015-10-23,17,2015-10-28,0,True
2007-2021,tutti,2015Q4,2016-01-22,17,2016-01-22,17,2016-01-28,0,True
2007-2021,tutti,2016Q1,2016-04-22,17,2016-04-22,17,2016-04-28,0,True
2007-2021,tutti,2016Q2,2016-07-22,17,2016-07-22,17,2016-07-28,0,True
2007-2021,tutti,2016Q3,2016-10-21,17,2016-10-21,17,2016-10-28,0,True
2007-2021,tutti,2016Q4,2017-01-27,17,2017-01-27,17,2017-01-28,0,True
2007-2021,tutti,2017Q1,2017-04-21,16,2017-04-21,16,2017-04-28,0,True
2007-2021,tutti,2017Q2,2017-07-21,16,2017-07-21,16,2017-07-28,0,True
2007-2021,tutti,2017Q3,2017-10-27,17,2017-10-27,17,2017-10-28,0,True
2007-2021,tutti,2017Q4,2018-01-26,17,2018-01-26,17,2018-01-28,0,True
2007-2021,tutti,2018Q1,2018-04-27,17,2018-04-27,17,2018-04-28,0,True
2007-2021,tutti,2018Q2,2018-07-27,17,2018-07-27,17,2018-07-28,0,True
2007-2021,tutti,2018Q3,2018-10-26,17,2018-10-26,17,2018-10-28,0,True
2007-2021,tutti,2018Q4,2019-01-25,17,2019-01-25,17,2019-01-28,0,True
2007-2021,tutti,2019Q1,2019-04-26,17,2019-04-26,17,2019-04-28,0,True
2007-2021,tutti,2019Q2,2019-07-26,17,2019-07-26,17,2019-07-28,0,True
2007-2021,tutti,2019Q3,2019-10-25,17,2019-10-25,17,2019-10-28,0,True
2007-2021,tutti,2019Q4,2020-01-24,17,2020-01-24,17,2020-01-28,0,True
2007-2021,tutti,2020Q1,2020-04-24,17,2020-04-24,17,2020-04-28,0,True
2007-2021,tutti,2020Q2,2020-07-24,17,2020-07-24,17,2020-07-28,0,True
2007-2021,tutti,2020Q3,2020-10-23,17,2020-10-23,17,2020-10-28,0,True
2007-2021,tutti,2020Q4,2021-01-22,17,2021-01-22,17,2021-01-28,0,True
2007-2021,tutti,2021Q1,2021-04-23,17,2021-04-23,17,2021-04-28,0,True
2007-2021,tutti,2021Q2,2021-07-23,17,2021-07-23,17,2021-07-28,0,True
2007-2025,tutti,2006Q4,2007-01-26,17,2007-01-26,17,2007-01-28,0,True
2007-2025,tutti,2007Q1,2007-04-27,17,2007-04-27,17,2007-04-28,0,True
2007-2025,tutti,2007Q2,2007-07-27,17,2007-07-27,17,2007-07-28,0,True
2007-2025,tutti,2007Q3,2007-10-26,17,2007-10-26,17,2007-10-28,0,True
2007-2025,tutti,2007Q4,2008-01-25,17,2008-01-25,17,2008-01-28,0,True
2007-2025,tutti,2008Q1,2008-04-25,17,2008-04-25,17,2008-04-28,0,True
2007-2025,tutti,2008Q2,2008-07-25,17,2008-07-25,17,2008-07-28,0,True
2007-2025,tutti,2008Q3,2008-10-24,17,2008-10-24,17,2008-10-28,0,True
2007-2025,tutti,2008Q4,2009-01-23,17,2009-01-23,17,2009-01-28,0,True
2007-2025,tutti,2009Q1,2009-04-24,17,2009-04-24,17,2009-04-28,0,True
2007-2025,tutti,2009Q2,2009-07-24,17,2009-07-24,17,2009-07-28,0,True
2007-2025,tutti,2009Q3,2009-10-23,17,2009-10-23,17,2009-10-28,0,True
2007-2025,tutti,2009Q4,2010-01-22,17,2010-01-22,17,2010-01-28,0,True
2007-2025,tutti,2010Q1,2010-04-23,17,2010-04-23,17,2010-04-28,0,True
2007-2025,tutti,2010Q2,2010-07-23,17,2010-07-23,17,2010-07-28,0,True
2007-2025,tutti,2010Q3,2010-10-22,17,2010-10-22,17,2010-10-28,0,True
2007-2025,tutti,2010Q4,2011-01-21,17,2011-01-21,17,2011-01-28,0,True
2007-2025,tutti,2011Q1,2011-04-22,16,2011-04-22,16,2011-04-28,0,True
2007-2025,tutti,2011Q2,2011-07-22,17,2011-07-22,17,2011-07-28,0,True
2007-2025,tutti,2011Q3,2011-10-21,17,2011-10-21,17,2011-10-28,0,True
2007-2025,tutti,2011Q4,2012-01-27,17,2012-01-27,17,2012-01-28,0,True
2007-2025,tutti,2012Q1,2012-04-27,17,2012-04-27,17,2012-04-28,0,True
2007-2025,tutti,2012Q2,2012-07-27,17,2012-07-27,17,2012-07-28,0,True
2007-2025,tutti,2012Q3,2012-10-26,17,2012-10-26,17,2012-10-28,0,True
2007-2025,tutti,2012Q4,2013-01-25,17,2013-01-25,17,2013-01-28,0,True
2007-2025,tutti,2013Q1,2013-04-26,17,2013-04-26,17,2013-04-28,0,True
2007-2025,tutti,2013Q2,2013-07-26,17,2013-07-26,17,2013-07-28,0,True
2007-2025,tutti,2013Q3,2013-10-25,17,2013-10-25,17,2013-10-28,0,True
2007-2025,tutti,2013Q4,2014-01-24,17,2014-01-24,17,2014-01-28,0,True
2007-2025,tutti,2014Q1,2014-04-25,17,2014-04-25,17,2014-04-28,0,True
2007-2025,tutti,2014Q2,2014-07-25,17,2014-07-25,17,2014-07-28,0,True
2007-2025,tutti,2014Q3,2014-10-24,17,2014-10-24,17,2014-10-28,0,True
2007-2025,tutti,2014Q4,2015-01-23,17,2015-01-23,17,2015-01-28,0,True
2007-2025,tutti,2015Q1,2015-04-24,17,2015-04-24,17,2015-04-28,0,True
2007-2025,tutti,2015Q2,2015-07-24,17,2015-07-24,17,2015-07-28,0,True
2007-2025,tutti,2015Q3,2015-10-23,17,2015-10-23,17,2015-10-28,0,True
2007-2025,tutti,2015Q4,2016-01-22,17,2016-01-22,17,2016-01-28,0,True
2007-2025,tutti,2016Q1,2016-04-22,17,2016-04-22,17,2016-04-28,0,True
2007-2025,tutti,2016Q2,2016-07-22,17,2016-07-22,17,2016-07-28,0,True
2007-2025,tutti,2016Q3,2016-10-21,17,2016-10-21,17,2016-10-28,0,True
2007-2025,tutti,2016Q4,2017-01-27,17,2017-01-27,17,2017-01-28,0,True
2007-2025,tutti,2017Q1,2017-04-21,16,2017-04-21,16,2017-04-28,0,True
2007-2025,tutti,2017Q2,2017-07-21,16,2017-07-21,16,2017-07-28,0,True
2007-2025,tutti,2017Q3,2017-10-27,17,2017-10-27,17,2017-10-28,0,True
2007-2025,tutti,2017Q4,2018-01-26,17,2018-01-26,17,2018-01-28,0,True
2007-2025,tutti,2018Q1,2018-04-27,17,2018-04-27,17,2018-04-28,0,True
2007-2025,tutti,2018Q2,2018-07-27,17,2018-07-27,17,2018-07-28,0,True
2007-2025,tutti,2018Q3,2018-10-26,17,2018-10-26,17,2018-10-28,0,True
2007-2025,tutti,2018Q4,2019-01-25,17,2019-01-25,17,2019-01-28,0,True
2007-2025,tutti,2019Q1,2019-04-26,17,2019-04-26,17,2019-04-28,0,True
2007-2025,tutti,2019Q2,2019-07-26,17,2019-07-26,17,2019-07-28,0,True
2007-2025,tutti,2019Q3,2019-10-25,17,2019-10-25,17,2019-10-28,0,True
2007-2025,tutti,2019Q4,2020-01-24,17,2020-01-24,17,2020-01-28,0,True
2007-2025,tutti,2020Q1,2020-04-24,17,2020-04-24,17,2020-04-28,0,True
2007-2025,tutti,2020Q2,2020-07-24,17,2020-07-24,17,2020-07-28,0,True
2007-2025,tutti,2020Q3,2020-10-23,17,2020-10-23,17,2020-10-28,0,True
2007-2025,tutti,2020Q4,2021-01-22,17,2021-01-22,17,2021-01-28,0,True
2007-2025,tutti,2021Q1,2021-04-23,17,2021-04-23,17,2021-04-28,0,True
2007-2025,tutti,2021Q2,2021-07-23,17,2021-07-23,17,2021-07-28,0,True
2007-2025,tutti,2023Q1,2023-04-21,16,2023-04-21,16,2023-04-28,0,True
2007-2025,tutti,2023Q2,2023-07-21,16,2023-07-21,16,2023-07-28,0,True
2007-2025,tutti,2023Q3,2023-10-27,17,2023-10-27,17,2023-10-28,0,True
2007-2025,tutti,2023Q4,2024-01-26,17,2024-01-26,17,2024-01-28,0,True
2007-2025,tutti,2024Q1,2024-04-26,17,2024-04-26,17,2024-04-28,0,True
2007-2025,tutti,2024Q2,2024-07-26,17,2024-07-26,17,2024-07-28,0,True
2007-2025,tutti,2024Q3,2024-10-25,17,2024-10-25,17,2024-10-28,0,True
2007-2025,tutti,2024Q4,2025-01-24,17,2025-01-24,17,2025-01-28,0,True
2007-2025,tutti,2025Q1,2025-04-25,17,2025-04-25,17,2025-04-28,0,True
2007-2025,tutti,2025Q2,2025-07-25,17,2025-07-25,17,2025-07-28,0,True
2007-2025,tutti,2025Q3,2025-10-24,17,2025-10-24,17,2025-10-28,0,True
2007-2010,tutti,2006Q4,2007-01-26,17,2007-01-26,17,2007-01-28,0,True
2007-2010,tutti,2007Q1,2007-04-27,17,2007-04-27,17,2007-04-28,0,True
2007-2010,tutti,2007Q2,2007-07-27,17,2007-07-27,17,2007-07-28,0,True
2007-2010,tutti,2007Q3,2007-10-26,17,2007-10-26,17,2007-10-28,0,True
2007-2010,tutti,2007Q4,2008-01-25,17,2008-01-25,17,2008-01-28,0,True
2007-2010,tutti,2008Q1,2008-04-25,17,2008-04-25,17,2008-04-28,0,True
2007-2010,tutti,2008Q2,2008-07-25,17,2008-07-25,17,2008-07-28,0,True
2007-2010,tutti,2008Q3,2008-10-24,17,2008-10-24,17,2008-10-28,0,True
2007-2010,tutti,2008Q4,2009-01-23,17,2009-01-23,17,2009-01-28,0,True
2007-2010,tutti,2009Q1,2009-04-24,17,2009-04-24,17,2009-04-28,0,True
2007-2010,tutti,2009Q2,2009-07-24,17,2009-07-24,17,2009-07-28,0,True
2007-2010,tutti,2009Q3,2009-10-23,17,2009-10-23,17,2009-10-28,0,True
2007-2010,tutti,2009Q4,2010-01-22,17,2010-01-22,17,2010-01-28,0,True
2007-2010,tutti,2010Q1,2010-04-23,17,2010-04-23,17,2010-04-28,0,True
2007-2010,tutti,2010Q2,2010-07-23,17,2010-07-23,17,2010-07-28,0,True
2007-2010,tutti,2010Q3,2010-10-22,17,2010-10-22,17,2010-10-28,0,True
2019-2021,tutti,2018Q4,2019-01-25,17,2019-01-25,17,2019-01-28,0,True
2019-2021,tutti,2019Q1,2019-04-26,17,2019-04-26,17,2019-04-28,0,True
2019-2021,tutti,2019Q2,2019-07-26,17,2019-07-26,17,2019-07-28,0,True
2019-2021,tutti,2019Q3,2019-10-25,17,2019-10-25,17,2019-10-28,0,True
2019-2021,tutti,2019Q4,2020-01-24,17,2020-01-24,17,2020-01-28,0,True
2019-2021,tutti,2020Q1,2020-04-24,17,2020-04-24,17,2020-04-28,0,True
2019-2021,tutti,2020Q2,2020-07-24,17,2020-07-24,17,2020-07-28,0,True
2019-2021,tutti,2020Q3,2020-10-23,17,2020-10-23,17,2020-10-28,0,True
2019-2021,tutti,2020Q4,2021-01-22,17,2021-01-22,17,2021-01-28,0,True
2019-2021,tutti,2021Q1,2021-04-23,17,2021-04-23,17,2021-04-28,0,True
2019-2021,tutti,2021Q2,2021-07-23,17,2021-07-23,17,2021-07-28,0,True
2024-2025,tutti,2023Q4,2024-01-26,17,2024-01-26,17,2024-01-28,0,True
2024-2025,tutti,2024Q1,2024-04-26,17,2024-04-26,17,2024-04-28,0,True
2024-2025,tutti,2024Q2,2024-07-26,17,2024-07-26,17,2024-07-28,0,True
2024-2025,tutti,2024Q3,2024-10-25,17,2024-10-25,17,2024-10-28,0,True
2024-2025,tutti,2024Q4,2025-01-24,17,2025-01-24,17,2025-01-28,0,True
2024-2025,tutti,2025Q1,2025-04-25,17,2025-04-25,17,2025-04-28,0,True
2024-2025,tutti,2025Q2,2025-07-25,17,2025-07-25,17,2025-07-28,0,True
2024-2025,tutti,2025Q3,2025-10-24,17,2025-10-24,17,2025-10-28,0,True
